feature,label
C:\ASL_Project\asl_training\features\PLEASE\583219774394824-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\MORE\15807643698153884-MORE.npy,MORE
C:\ASL_Project\asl_training\features\HELP\07603691172028904-HELP.npy,HELP
C:\ASL_Project\asl_training\features\THANK YOU\014439537236845323-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\WE\274934874875824-WE.npy,WE
C:\ASL_Project\asl_training\features\HELLO\16501735528077632-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\THANK YOU\39425766670939555-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\NAME\721473614329061-NAME.npy,NAME
C:\ASL_Project\asl_training\features\LIKE\05351672702445809-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\LOVE\3826611907286055-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\WHY\6220173213417262-WHY.npy,WHY
C:\ASL_Project\asl_training\features\LIKE\9359906689689883-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\PLEASE\6400788027798874-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\BAD\34169036359301463-BAD.npy,BAD
C:\ASL_Project\asl_training\features\YOU\35038040842137197-YOU.npy,YOU
C:\ASL_Project\asl_training\features\STOP\6679488064816475-STOP.npy,STOP
C:\ASL_Project\asl_training\features\LESS\44924622999479924-LESS.npy,LESS
C:\ASL_Project\asl_training\features\WHY\015395985479345287-WHY.npy,WHY
C:\ASL_Project\asl_training\features\MORE\6030819884347467-MORE.npy,MORE
C:\ASL_Project\asl_training\features\NAME\5949494391929417-NAME.npy,NAME
C:\ASL_Project\asl_training\features\NAME\68008701658875-NAME.npy,NAME
C:\ASL_Project\asl_training\features\MORE\7235081979386058-MORE.npy,MORE
C:\ASL_Project\asl_training\features\STOP\815577675920792-STOP.npy,STOP
C:\ASL_Project\asl_training\features\GOOD\6983847344301657-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\UNDERSTAND\40156343723600907-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\SORRY\62778761952392-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\GOOD\5088051624336825-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\WHY\9579391541087037-WHY.npy,WHY
C:\ASL_Project\asl_training\features\STOP\787967286498557-STOP.npy,STOP
C:\ASL_Project\asl_training\features\WHEN\05635557714446593-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\THANK YOU\7057474129672285-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\START\880391746148123-START.npy,START
C:\ASL_Project\asl_training\features\MORE\23625275644196408-MORE.npy,MORE
C:\ASL_Project\asl_training\features\THANK YOU\9701695309294336-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\UNDERSTAND\5169212541197368-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\NO\6137110171725737-NO.npy,NO
C:\ASL_Project\asl_training\features\NO\2732741727030885-NO.npy,NO
C:\ASL_Project\asl_training\features\LOVE\9425795001825019-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\WHY\7885296477376487-WHY.npy,WHY
C:\ASL_Project\asl_training\features\LIKE\8311673208101575-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\LOVE\2631901034056372-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\LESS\08571801652268163-LESS.npy,LESS
C:\ASL_Project\asl_training\features\WHEN\5845121089874201-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\THANK YOU\6508465822424006-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\LIKE\6108042704274992-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\YOU\6229294436435182-YOU.npy,YOU
C:\ASL_Project\asl_training\features\STOP\19109474570600948-STOP.npy,STOP
C:\ASL_Project\asl_training\features\HELP\8646796456836814-HELP.npy,HELP
C:\ASL_Project\asl_training\features\WE\14563849425095032-WE.npy,WE
C:\ASL_Project\asl_training\features\STOP\6864058804402533-STOP.npy,STOP
C:\ASL_Project\asl_training\features\THANK YOU\15769775934939156-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\YOU\15737752814991346-YOU.npy,YOU
C:\ASL_Project\asl_training\features\WHEN\7524645430552388-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\UNDERSTAND\6593382490905721-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\LESS\2286569439935593-LESS.npy,LESS
C:\ASL_Project\asl_training\features\START\861933051770718-START.npy,START
C:\ASL_Project\asl_training\features\YES\8977694836593926-YES.npy,YES
C:\ASL_Project\asl_training\features\WHY\7508574803030745-WHY.npy,WHY
C:\ASL_Project\asl_training\features\WHERE\9957868929062672-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\HELLO\8486809407942575-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\START\9901180674407162-START.npy,START
C:\ASL_Project\asl_training\features\HELLO\5339916560192981-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\SORRY\8989337086309281-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\YES\7199652013477922-YES.npy,YES
C:\ASL_Project\asl_training\features\WE\7484839279145117-WE.npy,WE
C:\ASL_Project\asl_training\features\LESS\12975955861028488-LESS.npy,LESS
C:\ASL_Project\asl_training\features\LOVE\13717057044445125-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\NAME\5230881244500567-NAME.npy,NAME
C:\ASL_Project\asl_training\features\BAD\21076084261461991-BAD.npy,BAD
C:\ASL_Project\asl_training\features\NAME\3644933452013184-NAME.npy,NAME
C:\ASL_Project\asl_training\features\NO\09714329486323847-NO.npy,NO
C:\ASL_Project\asl_training\features\WE\9375717470846778-WE.npy,WE
C:\ASL_Project\asl_training\features\HELP\5574926687456125-HELP.npy,HELP
C:\ASL_Project\asl_training\features\NO\7973429116215278-NO.npy,NO
C:\ASL_Project\asl_training\features\UNDERSTAND\6762437534373142-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\BAD\27067652476321635-BAD.npy,BAD
C:\ASL_Project\asl_training\features\STOP\5495256812953944-STOP.npy,STOP
C:\ASL_Project\asl_training\features\STOP\16617331553945736-STOP.npy,STOP
C:\ASL_Project\asl_training\features\YES\9782863224987515-YES.npy,YES
C:\ASL_Project\asl_training\features\WHERE\9084539059220444-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\WE\6913451457780051-WE.npy,WE
C:\ASL_Project\asl_training\features\HELLO\081380748015633-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\NAME\5222576863044399-NAME.npy,NAME
C:\ASL_Project\asl_training\features\WHERE\09379414966671162-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\YOU\298155207775465-YOU.npy,YOU
C:\ASL_Project\asl_training\features\HELP\6037747479203328-HELP.npy,HELP
C:\ASL_Project\asl_training\features\BAD\24751730661041682-BAD.npy,BAD
C:\ASL_Project\asl_training\features\GOOD\1636907769941489-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\UNDERSTAND\9717361996927067-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\YES\9953610281521326-YES.npy,YES
C:\ASL_Project\asl_training\features\YOU\2775935043696396-YOU.npy,YOU
C:\ASL_Project\asl_training\features\WE\5346957049353451-WE.npy,WE
C:\ASL_Project\asl_training\features\NO\5278795760893484-NO.npy,NO
C:\ASL_Project\asl_training\features\SORRY\7662883760067802-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\PLEASE\9697873113607589-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\WHERE\7404223141679687-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\LESS\5786434095293957-LESS.npy,LESS
C:\ASL_Project\asl_training\features\LIKE\3221250728567113-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\YES\8699610978899361-YES.npy,YES
C:\ASL_Project\asl_training\features\MORE\9340539684203915-MORE.npy,MORE
C:\ASL_Project\asl_training\features\NAME\1420689770801613-NAME.npy,NAME
C:\ASL_Project\asl_training\features\YES\5327840336837257-YES.npy,YES
C:\ASL_Project\asl_training\features\SORRY\1636390875008531-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\NAME\9200587270292702-NAME.npy,NAME
C:\ASL_Project\asl_training\features\PLEASE\9004431867747704-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\LIKE\2935343968735329-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\YES\029563612799205163-YES.npy,YES
C:\ASL_Project\asl_training\features\NAME\44454593042241-NAME.npy,NAME
C:\ASL_Project\asl_training\features\START\9284158991408038-START.npy,START
C:\ASL_Project\asl_training\features\LIKE\8940965995167087-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\LOVE\4243347380620037-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\HELLO\7472491282176557-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\WHEN\48576039738055954-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\SORRY\5865603235099206-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\LESS\6075820262664089-LESS.npy,LESS
C:\ASL_Project\asl_training\features\LOVE\5046064121660587-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\MORE\7267227999834953-MORE.npy,MORE
C:\ASL_Project\asl_training\features\WE\6257769266405475-WE.npy,WE
C:\ASL_Project\asl_training\features\NAME\9851992475740963-NAME.npy,NAME
C:\ASL_Project\asl_training\features\HELP\12979829347320937-HELP.npy,HELP
C:\ASL_Project\asl_training\features\LOVE\9533808785286948-LOVE.npy,LOVE
