feature,label
C:\ASL_Project\asl_training\features_normalized\YOU\15737752814991346-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\BAD\41399470555461226-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\YOU\6436088371555648-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\WHEN\08729017928642491-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\LOVE\9425795001825019-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\7903893233633115-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\NAME\3644933452013184-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\LOVE\44419065960377635-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WHY\576863051440268-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\WHY\9579391541087037-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\HELP\3347819641252294-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\START\43058639110125596-START.npy,START
C:\ASL_Project\asl_training\features_normalized\LESS\5786434095293957-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\HELLO\5339916560192981-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\WE\4544218531641271-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\LIKE\48852938778695965-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\HELLO\16501735528077632-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\THANK YOU\936211950052861-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\YOU\6229294436435182-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\HELP\15046472702938374-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\YOU\35038040842137197-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\40550375821025386-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\MORE\9340539684203915-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\HELLO\9042145214602195-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\STOP\8893256597213444-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\SORRY\14951164356135682-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\YES\32941176670637984-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\LOVE\06306461164504529-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\LOVE\5578116007946967-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\PLEASE\6936039479099299-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\WHEN\7524645430552388-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\HELLO\16493550450776628-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\NO\7932042062420475-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\SORRY\46389552341659956-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\PLEASE\44272136216354463-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\16870669316247833-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\YOU\5521129539800975-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\LIKE\2935343968735329-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\6788237257016723-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\6745834273988278-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\PLEASE\7328260605453549-PLEASE.npy,PLEASE
